case,nodes,distance_m,source,dest,tx,rx,lost,loss_percent,delay_us,jitter_us,throughput_kbps
1,5,20,10.1.1.1,10.1.1.5,10,10,0,0.00,1559,293,9.350
2,5,25,10.1.1.1,10.1.1.5,10,10,0,0.00,2139,934,9.350
3,5,30,10.1.1.1,10.1.1.5,10,10,0,0.00,1916,682,9.350
4,5,35,10.1.1.1,10.1.1.5,10,10,0,0.00,2160,886,9.350
5,5,40,10.1.1.1,10.1.1.5,10,10,0,0.00,4200,1139,9.348
6,5,45,10.1.1.1,10.1.1.5,10,10,0,0.00,3943,987,9.348
7,5,50,10.1.1.1,10.1.1.5,10,10,0,0.00,4140,1362,9.349
8,5,55,10.1.1.1,10.1.1.5,10,10,0,0.00,4403,1611,9.348
9,5,60,10.1.1.1,10.1.1.5,10,10,0,0.00,4371,1668,9.348
10,5,65,10.1.1.1,10.1.1.5,10,0,10,100.00,0,0,0.000
11,5,70,10.1.1.1,10.1.1.5,10,0,10,100.00,0,0,0.000
